name,episodes,type
Доктор Стоун,24,Сериал
Дитя хаоса,12,Сериал
Домашняя подружка,12,Сериал
Друзья из Манарии,10,Сериал
Дюрарара!!,24,Сериал
Ежемесячное сёдзё Нозаки-куна,12,Сериал
Железобетон,1,Фильм
Живая любовь! Проект «Школьный идол»,13,Сериал
Запись деятельности клуба Хифу: Запечатанная эзотерическая история,-1,Сериал
Истории Коёми,12,ONA
Истории монстров,15,Сериал
Истории монстров: Рекап,1,Спешл
Истории подделок,11,Сериал
История кошки: Чёрная глава,4,Сериал
История Коёми,1,Спешл
История одержимости,4,Сериал
История финала,12,Сериал
История финала 2,7,Сериал
История финала 2: Рекапы,2,Спешл
История финала: Продолжение,1,Фильм
История цветов,5,Сериал
Как воспитать героиню из обычной девушки,12,Сериал
Как и ожидалось моя школьная романтическая жизнь не удалась,13,Сериал
Как и ожидалось моя школьная романтическая жизнь не удалась,13,OVA
Как и ожидалось моя школьная романтическая жизнь не удалась 2,13,Сериал
Как и ожидалось моя школьная романтическая жизнь не удалась 2,1,OVA
Как и ожидалось моя школьная романтическая жизнь не удалась 3,12,Сериал
Когда плачут цикады,26,Сериал
Когда плачут цикады: Благодарность,5,OVA
Когда плачут цикады: Блеск,4,OVA
Когда плачут цикады: Вспышка,1,OVA
Когда плачут цикады: Глава об убийстве кошки,1,Спешл
Когда плачут цикады: Разгадки,24,Сериал
Когда плачут цикады: Разгадки — Спешлы,24,Спешл
Когда плачут чайки,26,Сериал
Когда плачут чайки: Спешлы,26,Спешл
Комиксистки,12,Сериал
Кулак Синего неба,22,Сериал
Ловушка лжи,12,Сериал
Магистр дьявольского культа,15,ONA
Маленькие проказники!,26,Сериал
Нашествие бродячих кошек!,13,Сериал
Невероятное приключение ДжоДжо: Золотой ветер,39,Сериал
Непутёвый ученик в школе магии,26,Сериал
Нет игры — нет жизни,12,Сериал
Новая игра!,12,Сериал
Новая игра! 2,12,Сериал
Паранормальное бюро расследований Мухё и Роджи,12,Сериал
Переворотный суд,24,Сериал
Переворотный суд 2,23,Сериал
Персона: Душа троицы,26,Сериал
Плод Грисайи,13,Сериал
Повесть о лунной принцессе,12,Сериал
Признания,12,Сериал
Проза бродячих псов,12,Сериал
Психопаспорт,22,Сериал
Рандеву с жизнью,12,Сериал
Сердца Пандоры,25,Сериал
Судьба/Апокриф: Рекап,1,Спешл
Тада не может влюбиться,13,Сериал
Темнее чёрного,25,Сериал
Трёхсторонний клевер,12,Сериал
У меня мало друзей,12,Сериал
У меня мало друзей: Продолжение,12,Сериал
Ускоренный мир,24,Сериал
Флотская коллекция,12,Сериал
Цикл историй: Второй сезон,26,Сериал
Эрго Прокси,23,Сериал
Этот глупый свин не понимает мечту девочки-зайки: Спешл,5,Спешл
Я и мой слуга из секретной службы,12,Сериал
Обычная жизнь школьников,12,Сериал
Этот глупый свин не понимает мечту девочки-зайки. Фильм,1,Фильм
Насколько тяжёлые гантели ты сможешь поднять,12,Сериал
Месть Масамунэ!,12,Сериал
